name,nameJP,zipcode,address,addressJP,burnables,plasticcontainers,plasticbottles,cans,foodandbeverage,solidwaste,ceramicglass,newspaperads,magazinesmisc,cardboard
Yamada B,山田B,5250036,"Kusatsu-cho (Erushiti, Beruvi, Kotochou, Paruntaun)",草津町（エルシティ、ベルヴィ、湖都町、パールタウンなどエルシティ、ベルヴィ、湖都町、パールタウンなど）,月 木,火1 火3 火5,水2,金4,金1,金3,水3,水1,金2,水4
Kamigasa,上笠,5250028,Kamigasa-cho,上笠町,月 木,水2 水4 水5,火1,火2,火3,金1,金4,金3,金2,火4
Kamigasa,上笠,5250028,Kamigasa 1~4-chome,上笠一から四丁目,月 木,水2 水4 水5,火1,火2,火3,金1,金4,金3,金2,火4
Kasanui A,笠縫A,5250015,Atsumari-cho,集町,月 木,金2 金4 金5,火3,火4,水4,火1,水2,水3,火2,水1
Kasanui A,笠縫A,5250028,Kamigasa 5-chome,上笠五丁目,月 木,金2 金4 金5,火3,火4,水4,火1,水2,水3,火2,水1
Kasanui A,笠縫A,5250022,Kawara-cho (Hayama River to North),川原町（葉山川より北）,月 木,金2 金4 金5,火3,火4,水4,火1,水2,水3,火2,水1
Kasanui A,笠縫A,5250014,Komaizawa-cho,駒井沢町,月 木,金2 金4 金5,火3,火4,水4,火1,水2,水3,火2,水1
Kasanui A,笠縫A,5250029,Shimogasa-cho,下笠町,月 木,金2 金4 金5,火3,火4,水4,火1,水2,水3,火2,水1
Kasanui A,笠縫A,5250013,Shindou-cho,新堂町,月 木,金2 金4 金5,火3,火4,水4,火1,水2,水3,火2,水1
Kasanui B,笠縫B,5250021,Kawara 1~4-chome,川原一から四丁目,火 金,木1 木3 木5,水3,水4,水2,月4,水1,月2,月1,月3
Kasanui B,笠縫B,5250022,Kawara-cho,川原町,火 金,木1 木3 木5,水3,水4,水2,月4,水1,月2,月1,月3
Kasanui B,笠縫B,5250027,Nomura 2-chome (11~23),野村二丁目（11から23）,火 金,木1 木3 木5,水3,水4,水2,月4,水1,月2,月1,月3
Kasanui B,笠縫B,5250027,Nomura 3~8-chome,野村三から八丁目,火 金,木1 木3 木5,水3,水4,水2,月4,水1,月2,月1,月3
Yamada A,山田A,5250016,Kita-Yamada,北山田,月 木,水2 水4 水5,金3,金4,火2,火3,金2,火4,金1,火1
Yamada A,山田A,5250051,Kinokawa-cho (K's Denki side of the prefectural road crossing),木川町（県道交差点ケーズデンキ側）,月 木,水2 水4 水5,金3,金4,火2,火3,金2,火4,金1,火1
Yamada A,山田A,5250064,Mikura-cho,御倉町,月 木,水2 水4 水5,金3,金4,火2,火3,金2,火4,金1,火1
Yamada A,山田A,5250063,Minami-Yamada-cho,南山田町,月 木,水2 水4 水5,金3,金4,火2,火3,金2,火4,金1,火1
Yamada A,山田A,5250062,Yamada-cho,山田町,月 木,水2 水4 水5,金3,金4,火2,火3,金2,火4,金1,火1
Kasayama,笠山,5250072,Kasayama 1~8-chome,笠山一から八丁目,火 金,水2 水4 水5,月1,木4,月4,木2,木1,木3,月3,月2
Kasayama,笠山,5250071,"Minami-gasa-Higashi 1~4-chome (Yokoyama Heights, Koruboriumu Minami-gasa)",南笠東一から四丁目（横山ハイツ、コルボリウム南笠）,火 金,水2 水4 水5,月1,木4,月4,木2,木1,木3,月3,月2
Tamagawa B,玉川B,5250048,Oiwake-Minami 2-chome (Part of 15~22-banchi (Oiwake Kamoda neighborhood association)),追分南二丁目（15から22番の一部（追分鴨田町内会））,火 金,水2 水4 水5,月3,木2,月2,木3,木4,月4,木1,月1
Tamagawa B,玉川B,5250057,Sakuragaoka 1~5-chome,桜ヶ丘一から五丁目,火 金,水2 水4 水5,月3,木2,月2,木3,木4,月4,木1,月1
Tamagawa B,玉川B,5250055,Noji-cho (JR Toukaidou Main Line to Kokudou 1-go Side),野路町（ＪＲ東海道本線より国道1号側）,火 金,水2 水4 水5,月3,木2,月2,木3,木4,月4,木1,月1
Tamagawa B,玉川B,5250058,Noji-Higashi 1~7-chome,野路東一から七丁目,火 金,水2 水4 水5,月3,木2,月2,木3,木4,月4,木1,月1
